responsavel;valor_impositivo_inicial_loa;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago
AGOSTINHO PATRUS FILHO;11870906,0;11688395,36;11688395,36;10952600,96;10660724,71
ALENCAR DA SILVEIRA JR.;11870906,0;11838994,6;11838994,6;11555928,91;11392419,9
ANA PAULA SIQUEIRA;11870906,0;10809059,43;10809059,43;9986069,43;8174886,609999999
ANDRE QUINTAO;11870906,0;11850945,66;11850945,66;11450072,16;11165680,16
ANDREIA DE JESUS;11870906,0;10340981,520000001;10340981,520000001;10222262,890000002;9545514,830000002
ANTONIO CARLOS ARANTES;11870906,0;11469654,51;11469654,51;11427236,17;10767441,200000001
ARLEN SANTIAGO;11870906,0;11763920,329999998;11763920,329999998;11657884,14;11624688,76
ARNALDO SILVA;11870906,0;11868679,3;11868679,3;11868679,3;11868679,3
BARTO;11870906,0;11696460,180000002;11696460,180000002;7129213,199999999;6409788,93
BEATRIZ CERQUEIRA;11870906,0;11758236,67;11758236,67;11482757,68;10897109,66
BERNARDO MUCIDA;11870906,0;11668411,040000001;11668411,040000001;10827632,4;10820906,0
BETAO;11870906,0;11548411,55;11548411,55;11447781,55;11397157,350000001
BETINHO PINTO COELHO;11870906,0;11870906,0;11870906,0;11870906,0;11745110,74
Bloco Democracia e Luta;59962320,0;59962320,0;59962320,0;57562320,0;57562320,0
Bloco Deputado Luiz Humberto Carneiro;63709965,0;63681067,99;63681067,99;60446286,77;60385425,27
Bloco Minas São Muitas;127419930,0;127316239,74999999;127316239,74999999;123590996,52999999;122967659,52999999
BOSCO;11870906,0;11840906,0;11840906,0;11840906,0;11840906,0
BRAULIO BRAZ;11870906,0;11869384,620000001;11869384,620000001;11840426,0;11840426,0
BRUNO ENGLER;11870906,0;11374753,160000002;11374753,160000002;9245030,17;8900755,42
CARLOS HENRIQUE;11870906,0;11752096,5;11752096,5;11133370,7;10364384,0
CARLOS PIMENTA;11870906,0;11857179,26;11857179,26;11762179,26;11725007,860000001
CASSIO SOARES;11870906,0;11361631,51;11361631,51;11361631,51;11324460,11
CELINHO DO SINTTROCEL;11870906,0;11870906,0;11870906,0;11870906,0;11870906,0
CELISE LAVIOLA;11870906,0;10989793,780000001;10989793,780000001;10989793,780000001;10872301,780000001
CHARLES SANTOS;11870906,0;11524770,26;11524770,26;11524770,26;11225258,34
CLEITINHO AZEVEDO;11870906,0;11870561,0;11870561,0;11720906,0;11720906,0
CORONEL HENRIQUE;11870906,0;11241819,45;11241819,45;11079904,669999998;9663327,2
CORONEL SANDRO;11870906,0;11759831,799999999;11759831,799999999;11223184,809999999;10938406,67
CRISTIANO SILVEIRA;11870906,0;11760429,100000001;11760429,100000001;11760429,100000001;11550906,0
DALMO RIBEIRO SILVA;11870906,0;11679497,409999996;11679497,409999996;11679497,409999996;11530811,809999995
DELEGADA SHEILA;11870906,0;11752467,94;11752467,94;10545416,359999998;9970438,169999998
DELEGADO HELI GRILO;11870906,0;11869067,57;11869067,57;11495480,83;11495480,83
DOORGAL ANDRADA;11870906,0;11855021,55;11855021,55;11650631,5;11433197,48
DOUGLAS MELO;11870906,0;11859553,2;11859553,2;11859553,2;11859553,2
DOUTOR JEAN FREIRE;11870906,0;11529542,669999998;11529542,669999998;11429542,669999998;11429542,669999998
DOUTOR PAULO;11870906,0;11826691,68;11826691,68;11302705,78;10747107,32
DOUTOR WILSON BATISTA;11870906,0;11852125,96;11852125,96;11852125,96;11852125,96
DUARTE BECHIR;11870906,0;11870861,879999999;11870861,879999999;11870861,879999999;11780906,0
ELISMAR PRADO;11870906,0;11870906,0;11870906,0;11870906,0;11870906,0
FABIO AVELAR DE OLIVEIRA;11870906,0;11780988,57;11780988,57;11780988,57;11780988,57
FERNANDO PACHECO;11870906,0;11851486,459999999;11851486,459999999;9691618,899999999;9531734,44
GIL PEREIRA;11870906,0;11500182,089999998;11500182,089999998;11490730,089999998;11159636,19
GLAYCON FRANCO;11870906,0;11623962,74;11623962,74;11623962,74;10853962,74
GUILHERME DA CUNHA;11870906,0;11765545,639999999;11765545,639999999;11525506,149999999;11424643,14
GUSTAVO MITRE;11870906,0;11746544,82;11746544,82;11746544,82;11746544,82
GUSTAVO SANTANA;11870906,0;11710906,0;11710906,0;11710906,0;11510906,0
GUSTAVO VALADARES;11870906,0;11584314,76;11584314,76;11584314,76;11471599,76
HELY TARQUINIO;11870906,0;11870795,38;11870795,38;11827405,38;11423344,64
INACIO FRANCO;11870906,0;11681311,68;11681311,68;11681133,68;11057763,8
IONE PINHEIRO;11870906,0;11766433,43;11766433,43;11470388,43;11470388,43
JOAO LEITE;11870906,0;11040115,979999999;11040115,979999999;10369719,629999999;9830947,47
JOAO MAGALHAES;11870906,0;11670904,620000001;11670904,620000001;11670904,620000001;11670904,620000001
JOAO VITOR XAVIER;11870906,0;11870647,130000003;11870647,130000003;11439650,21;10699490,670000002
LAURA SERRANO;11870906,0;0,0;0,0;0,0;0,0
LEANDRO GENARO;11870906,0;11870906,0;11870906,0;11870906,0;11870906,0
LENINHA;11870906,0;11053610,559999999;11053610,559999999;10908790,280000001;9348025,260000002
LEO PORTELA;11870906,0;11870906,0;11870906,0;11870906,0;11870906,0
LEONIDIO BOUCAS;11870906,0;10338440,0;10338440,0;10338440,0;10338440,0
MARIO HENRIQUE CAIXA;11870906,0;11545406,0;11545406,0;11188406,0;11098406,0
MARQUINHO LEMOS;11870906,0;11867776,26;11867776,26;11867776,26;11468923,969999999
MAURO TRAMONTE;11870906,0;11769539,670000002;11769539,670000002;10403498,32;9569569,920000002
NEILANDO PIMENTA;11870906,0;11870906,000000002;11870906,000000002;11870906,000000002;11870906,000000002
NORALDINO JUNIOR;11870906,0;11870787,4;11870787,4;11870787,4;11870697,52
OSVALDO LOPES;11870906,0;11870626,0;11870626,0;11870626,0;10670626,0
Partido Liberal;37476450,0;37476450,0;37476450,0;37476450,0;37476450,0
PROFESSOR CLEITON;11870906,0;11766100,719999999;11766100,719999999;11714137,14;11215756,77
PROFESSOR IRINEU;11870906,0;11858771,33;11858771,33;11858771,33;11858771,33
PROFESSOR WENDEL MESQUITA;11870906,0;11858394,88;11858394,88;11055224,440000001;10499872,14
RAUL BELÉM;11870906,0;11752282,14;11752282,14;11752282,14;11752282,14
REPORTER RAFAEL MARTINS;11870906,0;11870906,0;11870906,0;11870906,0;11870906,0
ROBERTO ANDRADE;11870906,0;11870906,0;11870906,0;11870906,0;11868519,200000003
ROSANGELA REIS;11870906,0;11870905,95;11870905,95;11870905,95;11870905,95
SARGENTO RODRIGUES;11870906,0;11827697,55;11827697,55;7892084,35;7817974,84
SAVIO DE SOUZA CRUZ;11870906,0;11870146,270000001;11870146,270000001;11858381,270000001;11853421,28
TADEU MARTINS LEITE;11870906,0;11870896,130000003;11870896,130000003;11786482,000000004;11770906,000000004
THIAGO COTA;11870906,0;11870512,780000001;11870512,780000001;11870512,780000001;11770518,0
TITO TORRES;11870906,0;11863221,0;11863221,0;11704106,0;11555420,399999999
ULYSSES GOMES;11870906,0;11363603,64;11363603,64;11363603,64;10974979,78
VIRGILIO GUIMARAES;11870906,0;11692230,9;11692230,9;11692230,9;11514983,18
ZÉ GUILHERME;11870906,0;11751049,190000001;11751049,190000001;11751049,190000001;11662425,33
ZÉ REIS;11870906,0;9930997,2;9930997,2;9930997,2;9930997,2
TOTAL GERAL;1202628427,0;1173930597,0600004;1173930597,0600004;1139382634,5100005;1118068885,2700002
;;;;;
"Nota: Cálculos realizados apenas com as indicações com status ""Aprovado"" e ""Enviada para SEE"".";;;;;
